Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5,,2.35
Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,,2.35
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,2.35
Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.35
Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.35
Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5,,2.35
Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5,,2.35
Tata Indigo CS eVX,Chennai,2016,78000,Diesel,Manual,Second,25.0 kmpl,1396 CC,69.01 bhp,5,,2.35
Hyundai i20 Magna,Delhi,2009,46946,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5,,2.35
Maruti Omni 8 Seater BSIV,Hyderabad,2015,52950,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.35
Ford Figo Diesel Titanium,Pune,2011,95000,Diesel,Manual,Third,20.0 kmpl,1399 CC,68 bhp,5,,2.35
Maruti Ritz VDi,Jaipur,2009,73000,Diesel,Manual,Second,21.1 kmpl,1248 CC,73.9 bhp,5,,2.35
Maruti Swift VDI BSIV,Pune,2007,121000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5,,2.35
Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,2.35
Chevrolet Beat LS,Bangalore,2012,37000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,,2.35
Maruti Omni E MPI STD BS IV,Jaipur,2015,15000,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,,2.35
Maruti Swift 1.3 VXi,Jaipur,2006,125000,Petrol,Manual,Fourth & Above,16.1 kmpl,,,,,2.35
Maruti Wagon R VXI BS IV,Kolkata,2012,40000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.35
Honda Civic 2006-2010 1.8 S MT,Mumbai,2008,87000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,2.35
Maruti Alto 800 LXI,Hyderabad,2015,24617,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.36
Tata Nano XTA,Bangalore,2016,17800,Petrol,Automatic,Second,21.9 kmpl,624 CC,37.48 bhp,4,,2.38
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,2.39
Ford Figo Petrol ZXI,Mumbai,2012,23152,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5,,2.39
